rank,title,director,actors,genres,url
37,I'm Still Here,Walter Salles,Fernanda Torres; Fernanda Montenegro; Selton Mello,"Drama, History",https://letterboxd.com/film/im-still-here-2024/
38,Butterfly,Florence Miailhe,Fayçal Zafi; Jessica Jaouiche; Yassine Mestaoui,"Animation, Drama, History",https://letterboxd.com/film/butterfly-2024-1/
39,Retirement Plan,John Kelly,Domhnall Gleeson,Animation,https://letterboxd.com/film/retirement-plan/
40,Queer,Luca Guadagnino,Daniel Craig; Drew Starkey; Jason Schwartzman,"Romance, Drama",https://letterboxd.com/film/queer-2024/
41,Lisa Frankenstein,Zelda Williams,Kathryn Newton; Cole Sprouse; Liza Soberano,"Comedy, Romance, Horror",https://letterboxd.com/film/lisa-frankenstein/
42,Tarot,"Spenser Cohen, Anna Halberg",Harriet Slater; Wolfgang Novogratz; Adain Bradley,Horror,https://letterboxd.com/film/tarot-2024/
43,It's What's Inside,Greg Jardin,James Morosini; Brittany O'Grady; David Thompson,"Science Fiction, Comedy, Mystery",https://letterboxd.com/film/its-whats-inside/
44,Shelby Oaks,Chris Stuckmann,Camille Sullivan; Sarah Durn; Brendan Sexton III,"Horror, Mystery",https://letterboxd.com/film/shelby-oaks/
45,Jane Austen's Period Drama,"Julia Aks, Steve Pinder",Julia Aks; Ta'imua; Samantha Smart,"Romance, Comedy, History",https://letterboxd.com/film/jane-austens-period-drama/
46,Despicable Me 4,Chris Renaud,Steve Carell; Kristen Wiig; Will Ferrell,"Family, Action, Animation, Comedy, Science Fiction",https://letterboxd.com/film/despicable-me-4/
47,The Idea of You,Michael Showalter,Anne Hathaway; Nicholas Galitzine; Ella Rubin,"Drama, Romance, Comedy, Music",https://letterboxd.com/film/the-idea-of-you-2024/
48,How to Make Millions Before Grandma Dies,Pat Boonnitipat,Putthipong Assaratanakul; Usha Seamkhum; Sanya Kunakorn,Drama,https://letterboxd.com/film/how-to-make-millions-before-grandma-dies/
49,Beetlejuice Beetlejuice,Tim Burton,Michael Keaton; Winona Ryder; Catherine O'Hara,"Comedy, Fantasy",https://letterboxd.com/film/beetlejuice-beetlejuice/
50,Furiosa: A Mad Max Saga,George Miller,Anya Taylor-Joy; Chris Hemsworth; Tom Burke,"Science Fiction, Action, Adventure",https://letterboxd.com/film/furiosa-a-mad-max-saga/
