rank,title,director,actors,genres,url
22,The Devil All the Time,Antonio Campos,Tom Holland; Robert Pattinson; Bill Skarsgård,"Crime, Drama, Thriller",https://letterboxd.com/film/the-devil-all-the-time/
23,JUJUTSU KAISEN,"Yui Umemoto, Ryohei Takeshita, Kakushi Ifuku, Hideaki Abe, Yosuke Takada, Eri Osada, Sunghoo Park, Shota Goshozono, Ken Takahashi, Daisuke Tsukushi, Masataka Akai, Hironori Tanaka, Chie Nishizawa, Masato Nakazono, Ryu Nakayama, Tomomi Kamiya, Naoki Miyajima, Arifumi Imai, Atsushi Nakagawa, Ryota Aikei, Yooto, Hiroyuki Kitakubo, Teppei Okuda, Hayato Kurosaki, Shunsuke Okubo, Takumi Sunakohara, Kazuto Arai, Hokuto Sadamoto, Fei Hung, Isuta, Itsuki Tsuchigami, Hakuyu Go, Harumi Yamazaki, Yuji Tokuno, Tetsuya Akutsu, Takumi Ichikawa, Risa Suzuki, Yusuke Sunouchi, Masaomi Ando, Seimei Kidokoro, Takeru Sato, Shinya Iino, Hiroshi Kobayashi, Hiroaki Yamamoto",,Animation,https://letterboxd.com/film/jujutsu-kaisen/
24,Host,Rob Savage,Haley Bishop; Jemma Moore; Emma Louise Webb,Horror,https://letterboxd.com/film/host-2020/
25,Minari,Lee Isaac Chung,Steven Yeun; Han Ye-ri; Youn Yuh-jung,Drama,https://letterboxd.com/film/minari/
26,Your Name Engraved Herein,Kuang-Hui Liu,Edward Chen; Tseng Jing-hua; Leon Dai,"Romance, Drama",https://letterboxd.com/film/your-name-engraved-herein/
27,The Half of It,Alice Wu,Leah Lewis; Daniel Diemer; Alexxis Lemire,"Romance, Comedy, Drama",https://letterboxd.com/film/the-half-of-it/
28,Nomadland,Chloé Zhao,Frances McDormand; David Strathairn; Linda May,Drama,https://letterboxd.com/film/nomadland/
29,The Hunt,Craig Zobel,Betty Gilpin; Hilary Swank; Ethan Suplee,"Thriller, Action, Horror",https://letterboxd.com/film/the-hunt-2020/
30,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Cathy Yan,Margot Robbie; Rosie Perez; Mary Elizabeth Winstead,"Action, Crime",https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/
31,The Kissing Booth 2,Vince Marcello,Joey King; Jacob Elordi; Joel Courtney,"Comedy, Romance",https://letterboxd.com/film/the-kissing-booth-2/
32,Sonic the Hedgehog,Jeff Fowler,Ben Schwartz; James Marsden; Tika Sumpter,"Comedy, Family, Science Fiction, Action",https://letterboxd.com/film/sonic-the-hedgehog/
33,Euphoria: Trouble Don't Last Always,Sam Levinson,Zendaya; Colman Domingo; Hunter Schafer,Drama,https://letterboxd.com/film/euphoria-trouble-dont-last-always/
34,The Father,Florian Zeller,Anthony Hopkins; Olivia Colman; Mark Gatiss,Drama,https://letterboxd.com/film/the-father-2020/
35,Love and Monsters,Michael Matthews,Dylan O'Brien; Jessica Henwick; Michael Rooker,"Comedy, Science Fiction, Adventure, Fantasy",https://letterboxd.com/film/love-and-monsters/
36,Little Fish,Chad Hartigan,Olivia Cooke; Jack O'Connell; Soko,"Science Fiction, Drama, Romance",https://letterboxd.com/film/little-fish-2020/
37,Run,Aneesh Chaganty,Sarah Paulson; Kiera Allen; Pat Healy,"Thriller, Horror, Drama",https://letterboxd.com/film/run-2020/
38,The Call,Lee Chung-hyun,Park Shin-hye; Jeon Jong-seo; Kim Sung-ryung,"Thriller, Mystery, Science Fiction",https://letterboxd.com/film/the-call-2020-3/
39,Onward,Dan Scanlon,Tom Holland; Chris Pratt; Julia Louis-Dreyfus,"Comedy, Fantasy, Adventure, Family, Animation",https://letterboxd.com/film/onward-2020/
40,If Anything Happens I Love You,"Will McCormack, Michael Govier",,"Drama, Animation",https://letterboxd.com/film/if-anything-happens-i-love-you/
41,Summer of 85,François Ozon,Félix Lefebvre; Benjamin Voisin; Philippine Velge,"Romance, Drama",https://letterboxd.com/film/summer-of-85/
42,365 Days,"Barbara Białowąs, Tomasz Mandes",Anna-Maria Sieklucka; Michele Morrone; Bronisław Wrocławski,"Drama, Romance, Crime",https://letterboxd.com/film/365-days-2020/
43,True Beauty,Kim Sang-hyub,Mun Ka-young; Cha Eun-woo; Hwang In-yeop,"Comedy, Drama",https://letterboxd.com/film/true-beauty/
44,#Alive,Cho Il,Yoo Ah-in; Park Shin-hye; Lee Hyun-wook,"Action, Horror, Science Fiction",https://letterboxd.com/film/alive-2020/
45,Wolfwalkers,"Tomm Moore, Ross Stewart",Honor Kneafsey; Eva Whittaker; Sean Bean,"Animation, Family, Fantasy, Adventure",https://letterboxd.com/film/wolfwalkers/
46,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jason Woliner,Sacha Baron Cohen; Maria Bakalova; Tom Hanks,Comedy,https://letterboxd.com/film/borat-subsequent-moviefilm-delivery-of-prodigious/
47,The Babysitter: Killer Queen,McG,Judah Lewis; Jenna Ortega; Robbie Amell,"Horror, Comedy",https://letterboxd.com/film/the-babysitter-killer-queen/
48,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Haruo Sotozaki,Natsuki Hanae; Akari Kito; Hiro Shimono,"Action, Animation, Fantasy",https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-the-movie-mugen/
49,I Care a Lot,J Blakeson,Rosamund Pike; Peter Dinklage; Eiza González,"Drama, Crime, Thriller, Comedy",https://letterboxd.com/film/i-care-a-lot/
50,The Croods: A New Age,Joel Crawford,Nicolas Cage; Emma Stone; Ryan Reynolds,"Family, Adventure, Animation, Fantasy, Comedy",https://letterboxd.com/film/the-croods-a-new-age/
